SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS OU EQUÍDEOS, EM BRUTO;41019030;OUTS.COUROS/PELES,DE BOVINOS,DIVID.S/A FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE OVINOS;COUROS/PELES DE OVINOS, EM BRUTO;41021000;PELES EM BRUTO,DE OVINOS,COM LA
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE OVINOS;COUROS/PELES DE OVINOS, EM BRUTO;41022100;PELES EM BRUTO,DE OVINOS,'PICLADAS'
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE OVINOS;COUROS/PELES DE OVINOS, EM BRUTO;41022900;OUTRAS PELES EM BRUTO,DE OVINOS,DEPILADAS OU SEM LA
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE CAPRINOS;COUROS/PELES DE CAPRINOS, EM BRUTO;41031000;PELES EM BRUTO,DE CAPRINOS
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE RÉPTEIS;COUROS/PELES DE RÉPTEIS, EM BRUTO;41032000;PELES EM BRUTO,DE REPTEIS
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE SUÍNOS;COUROS/PELES DE SUÍNOS, EM BRUTO;41033000;COUROS E PELES,DE SUINOS,EM BRUTO
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE OUTROS ANIMAIS;COUROS/PELES DE OUTROS ANIMAIS, EM BRUTO;41039000;PELES EM BRUTO,DE OUTROS ANIMAIS
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, CURTIDO, WET BLUE;41041011;COURO/PELE INTEIRA,DE BOVINO,S<=2.6M2,'WET BLUE',N/DIV.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, CURTIDO, WET BLUE;41041012;COURO/PELE INTEIR.BOVINA,S<=2.6M2,'WET BLUE',DIV.C/FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, CURTIDO, WET BLUE;41041013;COURO/PELE INTEIR.BOVINA,S<=2.6M2,'WET BLUE',DIV.S/FLOR
